ID,answer
TEST_066,C
TEST_434,B
TEST_198,D
TEST_212,B
TEST_651,C
TEST_543,A
TEST_280,A
TEST_296,C
TEST_365,D
TEST_678,A
TEST_707,B
TEST_635,B
TEST_773,A
TEST_314,B
TEST_311,B
TEST_522,D
TEST_442,B
TEST_575,A
TEST_411,D
TEST_838,C
TEST_067,A
TEST_558,A
TEST_275,C
TEST_682,A
TEST_786,C
TEST_800,C
TEST_767,D
TEST_734,D
TEST_326,C
TEST_629,D
TEST_519,B
TEST_468,A
TEST_412,C
TEST_588,D
TEST_526,A
TEST_717,B
TEST_213,D
TEST_514,A
TEST_039,A
TEST_765,C
TEST_168,B
TEST_439,B
TEST_467,B
TEST_030,A
TEST_338,D
TEST_208,D
TEST_139,A
TEST_828,C
TEST_449,D
TEST_586,D
TEST_479,D
TEST_597,B
TEST_260,A
TEST_744,C
TEST_424,C
TEST_666,C
TEST_023,A
TEST_210,D
TEST_196,C
TEST_731,D
TEST_110,A
TEST_383,C
TEST_227,D
TEST_513,C
TEST_652,C
TEST_086,B
TEST_096,A
TEST_751,C
TEST_541,D
TEST_292,A
TEST_136,B
TEST_109,C
TEST_209,B
TEST_659,B
TEST_704,B
TEST_063,C
TEST_557,A
TEST_848,C
TEST_328,C
TEST_065,B
TEST_806,B
TEST_078,A
TEST_300,A
TEST_656,B
TEST_688,D
TEST_346,A
TEST_628,A
TEST_451,A
TEST_547,B
TEST_576,A
TEST_049,C
TEST_120,B
TEST_559,B
TEST_299,B
TEST_137,C
TEST_265,D
TEST_847,D
TEST_440,A
TEST_792,A
TEST_033,A
TEST_031,C
TEST_695,A
TEST_711,B
TEST_367,A
TEST_076,A
TEST_247,C
TEST_477,B
TEST_235,C
TEST_072,A
TEST_077,A
TEST_738,B
TEST_542,D
TEST_409,A
TEST_286,C
TEST_174,A
TEST_679,B
TEST_850,C
TEST_294,D
TEST_381,B
TEST_481,D
TEST_665,B
TEST_623,C
TEST_631,B
TEST_344,C
TEST_290,D
TEST_643,C
TEST_215,C
TEST_005,C
TEST_054,D
TEST_422,D
TEST_375,A
TEST_244,C
TEST_097,C
TEST_552,A
TEST_815,C
TEST_464,C
TEST_816,D
TEST_804,A
TEST_084,A
TEST_010,B
TEST_835,D
TEST_355,C
TEST_382,C
TEST_118,A
TEST_362,A
TEST_250,D
TEST_029,C
TEST_708,C
TEST_750,C
TEST_302,B
TEST_333,D
TEST_081,D
TEST_630,B
TEST_388,C
TEST_537,C
TEST_551,A
TEST_818,C
TEST_363,C
TEST_516,A
TEST_728,A
TEST_447,B
TEST_718,D
TEST_457,C
TEST_266,C
TEST_231,B
TEST_323,A
TEST_211,C
TEST_259,A
TEST_007,D
TEST_281,B
TEST_155,D
TEST_785,A
TEST_101,D
TEST_787,B
TEST_530,D
TEST_430,B
TEST_444,B
TEST_002,B
TEST_192,C
TEST_462,C
TEST_497,D
TEST_433,D
TEST_760,A
TEST_485,A
TEST_794,A
TEST_544,B
TEST_331,B
TEST_501,D
TEST_569,A
TEST_493,B
TEST_450,C
TEST_368,D
TEST_603,C
TEST_079,C
TEST_148,C
TEST_393,D
TEST_218,C
TEST_798,A
TEST_361,B
TEST_352,D
TEST_676,D
TEST_309,B
TEST_133,C
TEST_428,D
TEST_254,D
TEST_523,D
TEST_055,C
TEST_507,C
TEST_714,A
TEST_525,D
TEST_737,D
TEST_432,B
TEST_204,A
TEST_587,B
TEST_582,C
TEST_306,D
TEST_332,B
TEST_425,A
TEST_060,C
TEST_199,A
TEST_638,A
TEST_644,B
TEST_581,B
TEST_429,C
TEST_445,C
TEST_601,A
TEST_494,A
TEST_790,C
TEST_633,C
TEST_758,D
TEST_615,D
TEST_334,D
TEST_766,C
TEST_090,A
TEST_799,C
TEST_181,B
TEST_456,B
TEST_500,D
TEST_743,B
TEST_158,C
TEST_069,D
TEST_319,D
TEST_131,A
TEST_044,B
TEST_596,B
TEST_070,C
TEST_436,D
TEST_827,D
TEST_398,D
TEST_351,C
TEST_706,B
TEST_239,A
TEST_135,D
TEST_082,A
TEST_165,A
TEST_164,B
TEST_028,A
TEST_664,B
TEST_193,D
TEST_404,A
TEST_465,B
TEST_350,A
TEST_140,D
TEST_173,A
TEST_006,B
TEST_808,B
TEST_342,B
TEST_073,C
TEST_591,B
TEST_602,D
TEST_733,C
TEST_145,A
TEST_234,B
TEST_220,A
TEST_360,B
TEST_357,B
TEST_132,A
TEST_420,D
TEST_626,D
TEST_812,C
TEST_041,B
TEST_528,C
TEST_108,B
TEST_778,A
TEST_056,C
TEST_291,B
TEST_316,C
TEST_839,D
TEST_024,A
TEST_749,A
TEST_394,D
TEST_490,D
TEST_051,D
TEST_658,B
TEST_781,A
TEST_549,B
TEST_264,B
TEST_770,D
TEST_590,B
TEST_670,D
